Time;Temperature;ProcessTemperature;AgentType;AgentFlow;SampleType;CatalystType;CatalystRatio;CarbonMonoxide;CarbonDioxide;Methane;Oxygen;Hydrogen;CalorificValue
1;10;700;Air;0.05;TWTS;AI-Ni ;0;0;0;0;21.2;0;0
2;11;700;Air;0.05;TWTS;AI-Ni ;0;0;1.42;0;21.2;0;0
3;12;700;Air;0.05;TWTS;AI-Ni ;0;0;1.41;0;21.2;0;0
4;16;700;Air;0.05;TWTS;AI-Ni ;0;0;1.41;0;21.2;0;0
5;25;700;Air;0.05;TWTS;AI-Ni ;0;0;1.39;0;21.2;0;0
6;48;700;Air;0.05;TWTS;AI-Ni ;0;0;1.38;0;21.2;0;0
7;70;700;Air;0.05;TWTS;AI-Ni ;0;0;1.38;0;21.2;0;0
8;102;700;Air;0.05;TWTS;AI-Ni ;0;0;1.38;0;21.2;0;0
9;140;700;Air;0.05;TWTS;AI-Ni ;0;0;1.38;0;21.2;0;0
10;185;700;Air;0.05;TWTS;AI-Ni ;0;0;1.4;0;21.2;0;0
11;290;700;Air;0.05;TWTS;AI-Ni ;0;0;1.45;0;21.1;0;0
12;350;700;Air;0.05;TWTS;AI-Ni ;0;0;1.58;0;21.1;0;0
13;402;700;Air;0.05;TWTS;AI-Ni ;0;0;1.86;0;21.1;0;0
14;453;700;Air;0.05;TWTS;AI-Ni ;0;0;2.51;0;20.31;1;30.33
15;513;700;Air;0.05;TWTS;AI-Ni ;0;0;3.81;0;18.85;1;30.33
16;540;700;Air;0.05;TWTS;AI-Ni ;0;0;5.52;0;16.97;1;30.33
17;575;700;Air;0.05;TWTS;AI-Ni ;0;1;8.09;0;14.18;1;60.42
18;617;700;Air;0.05;TWTS;AI-Ni ;0;2;11.84;1;10.58;1;185.57
19;632;700;Air;0.05;TWTS;AI-Ni ;0;3;15.97;2;7.59;1;310.72
20;656;700;Air;0.05;TWTS;AI-Ni ;0;4;19.44;4;6.06;2;561.26
21;680;700;Air;0.05;TWTS;AI-Ni ;0;5;21.4;7;5.03;3;906.86
22;700;700;Air;0.05;TWTS;AI-Ni ;0;5;21.38;10;4.16;5;1252.7
23;700;700;Air;0.05;TWTS;AI-Ni ;0;5;20.24;13;3.44;7;1598.54
24;700;700;Air;0.05;TWTS;AI-Ni ;0;5;19.09;15;2.79;10;1879.65
25;700;700;Air;0.05;TWTS;AI-Ni ;0;5;18.29;17;2.33;12;2130.43
26;700;700;Air;0.05;TWTS;AI-Ni ;0;6;17.78;19;1.99;14;2411.3
27;700;700;Air;0.05;TWTS;AI-Ni ;0;6;17.31;20;1.94;16;2567.02
28;700;700;Air;0.05;TWTS;AI-Ni ;0;6;16.67;20;2.19;16;2567.02
29;700;700;Air;0.05;TWTS;AI-Ni ;0;5;15.98;18;2.61;16;2346.81
30;700;700;Air;0.05;TWTS;AI-Ni ;0;5;15.21;17;3.16;15;2221.42
31;700;700;Air;0.05;TWTS;AI-Ni ;0;4;14.36;15;3.67;14;1970.88
32;700;700;Air;0.05;TWTS;AI-Ni ;0;4;13.54;14;3.97;14;1875.82
33;700;700;Air;0.05;TWTS;AI-Ni ;0;4;12.97;13;4.16;15;1811.09
34;700;700;Air;0.05;TWTS;AI-Ni ;0;4;12.72;12;4.39;17;1776.69
35;700;700;Air;0.05;TWTS;AI-Ni ;0;4;12.4;10;4.84;17;1586.57
36;700;700;Air;0.05;TWTS;AI-Ni ;0;4;11.99;8;5.38;16;1366.12
37;700;700;Air;0.05;TWTS;AI-Ni ;0;3;11.54;6;5.97;14;1085.25
38;700;700;Air;0.05;TWTS;AI-Ni ;0;3;11.1;5;6.49;12;929.53
39;700;700;Air;0.05;TWTS;AI-Ni ;0;2;10.86;4;6.66;10;743.72
40;700;700;Air;0.05;TWTS;AI-Ni ;0;3;10.91;3;6.64;10;678.75
41;700;700;Air;0.05;TWTS;AI-Ni ;0;3;11.15;3;6.59;10;678.75
42;700;700;Air;0.05;TWTS;AI-Ni ;0;3;11.15;2;6.73;10;583.69
43;700;700;Air;0.05;TWTS;AI-Ni ;0;3;10.9;2;6.92;9;553.36
44;700;700;Air;0.05;TWTS;AI-Ni ;0;2;10.54;2;7.09;7;462.61
45;700;700;Air;0.05;TWTS;AI-Ni ;0;2;10.22;2;7.1;7;462.61
46;700;700;Air;0.05;TWTS;AI-Ni ;0;2;10.02;2;7.05;7;462.61
47;700;700;Air;0.05;TWTS;AI-Ni ;0;2;10.05;2;6.96;7;462.61
48;700;700;Air;0.05;TWTS;AI-Ni ;0;3;10.13;2;6.92;8;523.03
49;700;700;Air;0.05;TWTS;AI-Ni ;0;3;10;2;7.03;7;492.7
50;700;700;Air;0.05;TWTS;AI-Ni ;0;2;9.73;2;7.16;7;462.61
51;700;700;Air;0.05;TWTS;AI-Ni ;0;2;9.38;2;7.23;6;432.28
52;700;700;Air;0.05;TWTS;AI-Ni ;0;2;9.1;2;7.16;6;432.28
1;10;700;Air;0.1;TWTS;AI-Ni ;0;0;0;0;21.2;0;0
2;11;700;Air;0.1;TWTS;AI-Ni ;0;0;0;0;21.2;0;0
3;12;700;Air;0.1;TWTS;AI-Ni ;0;0;1.3;0;21.2;0;0
4;16;700;Air;0.1;TWTS;AI-Ni ;0;0;1.88;0;21.2;0;0
5;25;700;Air;0.1;TWTS;AI-Ni ;0;0;1.8;0;21.2;0;0
6;48;700;Air;0.1;TWTS;AI-Ni ;0;0;1.75;0;21.2;0;0
7;70;700;Air;0.1;TWTS;AI-Ni ;0;0;1.71;0;21.2;0;0
8;102;700;Air;0.1;TWTS;AI-Ni ;0;0;1.68;0;21.2;0;0
9;140;700;Air;0.1;TWTS;AI-Ni ;0;0;1.66;0;21.2;0;0
10;185;700;Air;0.1;TWTS;AI-Ni ;0;0;1.64;0;21.2;0;0
11;290;700;Air;0.1;TWTS;AI-Ni ;0;0;1.62;0;22.1;0;0
12;350;700;Air;0.1;TWTS;AI-Ni ;0;0;1.66;0;21.76;0;0
13;402;700;Air;0.1;TWTS;AI-Ni ;0;0;1.9;0;20.79;1;30.33
14;453;700;Air;0.1;TWTS;AI-Ni ;0;0;2.78;0;18.76;1;30.33
15;513;700;Air;0.1;TWTS;AI-Ni ;0;1;4.82;0;16.25;1;60.42
16;540;700;Air;0.1;TWTS;AI-Ni ;0;2;7.61;1;14.11;1;185.57
17;575;700;Air;0.1;TWTS;AI-Ni ;0;2;10.4;2;12.37;1;280.63
18;617;700;Air;0.1;TWTS;AI-Ni ;0;3;13.19;4;10.8;2;531.17
19;632;700;Air;0.1;TWTS;AI-Ni ;0;4;15.41;6;9.15;4;812.04
20;656;700;Air;0.1;TWTS;AI-Ni ;0;4;16.75;9;7.55;6;1157.88
21;680;700;Air;0.1;TWTS;AI-Ni ;0;5;17.15;12;6.05;8;1533.81
22;700;700;Air;0.1;TWTS;AI-Ni ;0;5;17.17;15;4.81;10;1879.65
23;700;700;Air;0.1;TWTS;AI-Ni ;0;5;17.12;18;3.91;12;2225.49
24;700;700;Air;0.1;TWTS;AI-Ni ;0;5;16.78;18;3.79;14;2286.15
25;700;700;Air;0.1;TWTS;AI-Ni ;0;5;15.8;17;4.68;13;2160.76
26;700;700;Air;0.1;TWTS;AI-Ni ;0;5;14.62;15;5.93;13;1970.64
27;700;700;Air;0.1;TWTS;AI-Ni ;0;4;13.54;14;6.89;13;1845.49
28;700;700;Air;0.1;TWTS;AI-Ni ;0;4;12.88;14;7.06;12;1815.16
29;700;700;Air;0.1;TWTS;AI-Ni ;0;4;12.46;14;7.09;12;1815.16
30;700;700;Air;0.1;TWTS;AI-Ni ;0;4;11.96;14;7.1;12;1815.16
31;700;700;Air;0.1;TWTS;AI-Ni ;0;4;11.14;12;7.05;12;1625.04
32;700;700;Air;0.1;TWTS;AI-Ni ;0;3;10.18;11;6.96;11;1469.56
33;700;700;Air;0.1;TWTS;AI-Ni ;0;2;9.23;9;6.92;11;1249.35
34;700;700;Air;0.1;TWTS;AI-Ni ;0;2;8.53;8;7.03;11;1154.29
35;700;700;Air;0.1;TWTS;AI-Ni ;0;2;8.18;8;7.16;11;1154.29
36;700;700;Air;0.1;TWTS;AI-Ni ;0;2;7.98;7;7.23;10;1028.9
37;700;700;Air;0.1;TWTS;AI-Ni ;0;2;7.66;6;7.16;10;933.84
38;700;700;Air;0.1;TWTS;AI-Ni ;0;2;7.25;5;6.96;10;838.78
39;700;700;Air;0.1;TWTS;AI-Ni ;0;2;6.86;4;6.92;10;743.72
40;700;700;Air;0.1;TWTS;AI-Ni ;0;1;6.6;3;6.88;10;618.57
1;10;700;Air;0.2;TWTS;AI-Ni ;0;0;0;0;21.23;0;0
2;11;700;Air;0.2;TWTS;AI-Ni ;0;0;0;0;21.23;0;0
3;12;700;Air;0.2;TWTS;AI-Ni ;0;0;0;0;21.23;0;0
4;16;700;Air;0.2;TWTS;AI-Ni ;0;0;0;0;21.23;0;0
5;25;700;Air;0.2;TWTS;AI-Ni ;0;0;0;0;21.23;0;0
6;48;700;Air;0.2;TWTS;AI-Ni ;0;0;1.4;0;21.23;0;0
8;70;700;Air;0.2;TWTS;AI-Ni ;0;0;1.92;0;21.23;0;0
9;102;700;Air;0.2;TWTS;AI-Ni ;0;0;1.86;0;21.23;0;0
10;140;700;Air;0.2;TWTS;AI-Ni ;0;0;1.82;0;21.23;0;0
11;185;700;Air;0.2;TWTS;AI-Ni ;0;0;1.79;0;21.23;0;0
12;290;700;Air;0.2;TWTS;AI-Ni ;0;0;1.79;0;21.23;0;0
13;350;700;Air;0.2;TWTS;AI-Ni ;0;0;1.84;0;21.23;0;0
14;402;700;Air;0.2;TWTS;AI-Ni ;0;0;2.06;0;20.12;1;30.33
15;453;700;Air;0.2;TWTS;AI-Ni ;0;0;2.77;0;19.51;1;30.33
16;513;700;Air;0.2;TWTS;AI-Ni ;0;1;4.3;0;17.01;1;60.42
17;540;700;Air;0.2;TWTS;AI-Ni ;0;1;6.65;1;14.61;1;155.48
18;575;700;Air;0.2;TWTS;AI-Ni ;0;2;9.28;2;12.89;1;280.63
19;617;700;Air;0.2;TWTS;AI-Ni ;0;3;11.84;3;11.31;1;405.78
20;632;700;Air;0.2;TWTS;AI-Ni ;0;4;14.17;5;9.49;2;656.32
21;656;700;Air;0.2;TWTS;AI-Ni ;0;4;15.85;8;7.57;4;1002.16
22;680;700;Air;0.2;TWTS;AI-Ni ;0;5;16.8;12;5.55;6;1473.15
23;700;700;Air;0.2;TWTS;AI-Ni ;0;5;17.11;15;4.07;9;1849.32
24;700;700;Air;0.2;TWTS;AI-Ni ;0;5;17.2;17;2.95;11;2100.1
25;700;700;Air;0.2;TWTS;AI-Ni ;0;5;17.11;19;2.4;13;2350.88
26;700;700;Air;0.2;TWTS;AI-Ni ;0;5;15.63;17;3.78;13;2160.76
27;700;700;Air;0.2;TWTS;AI-Ni ;0;4;13.73;15;6.02;12;1910.22
28;700;700;Air;0.2;TWTS;AI-Ni ;0;3;11.89;12;7.1;12;1594.95
29;700;700;Air;0.2;TWTS;AI-Ni ;0;3;10.65;10;7.05;12;1404.83
30;700;700;Air;0.2;TWTS;AI-Ni ;0;2;10;10;6.96;12;1374.74
31;700;700;Air;0.2;TWTS;AI-Ni ;0;3;9.68;10;6.92;11;1374.5
32;700;700;Air;0.2;TWTS;AI-Ni ;0;2;9.06;9;7.03;11;1249.35
33;700;700;Air;0.2;TWTS;AI-Ni ;0;2;8.07;7;7.16;11;1059.23
34;700;700;Air;0.2;TWTS;AI-Ni ;0;2;7.12;6;7.23;11;964.17
35;700;700;Air;0.2;TWTS;AI-Ni ;0;1;6.48;5;7.16;10;808.69
36;700;700;Air;0.2;TWTS;AI-Ni ;0;1;6.18;4;6.96;10;713.63
37;700;700;Air;0.2;TWTS;AI-Ni ;0;1;6.11;4;6.92;10;713.63
39;700;700;Air;0.2;TWTS;AI-Ni ;0;1;6.03;3;6.88;10;618.57
40;700;700;Air;0.2;TWTS;AI-Ni ;0;1;5.78;3;7.09;10;618.57
1;10;700;Air;0.3;TWTS;AI-Ni ;0;0;0;0;21.3;0;0
2;11;700;Air;0.3;TWTS;AI-Ni ;0;0;1.29;0;21.3;0;0
3;12;700;Air;0.3;TWTS;AI-Ni ;0;0;2;0;21.3;0;0
4;16;700;Air;0.3;TWTS;AI-Ni ;0;0;2.76;0;21.3;0;0
5;25;700;Air;0.3;TWTS;AI-Ni ;0;0;2.35;0;21.3;0;0
6;48;700;Air;0.3;TWTS;AI-Ni ;0;0;2.16;0;21.3;0;0
7;70;700;Air;0.3;TWTS;AI-Ni ;0;0;2.04;0;21.3;0;0
8;102;700;Air;0.3;TWTS;AI-Ni ;0;0;1.95;0;21.3;0;0
9;140;700;Air;0.3;TWTS;AI-Ni ;0;0;1.89;0;21.3;0;0
10;185;700;Air;0.3;TWTS;AI-Ni ;0;0;1.83;0;21.3;0;0
11;290;700;Air;0.3;TWTS;AI-Ni ;0;0;1.8;0;21.3;0;0
12;350;700;Air;0.3;TWTS;AI-Ni ;0;0;1.76;0;21.3;0;0
13;402;700;Air;0.3;TWTS;AI-Ni ;0;0;1.75;0;21.3;0;0
14;453;700;Air;0.3;TWTS;AI-Ni ;0;0;1.75;0;21.3;0;0
15;513;700;Air;0.3;TWTS;AI-Ni ;0;0;1.82;0;21.2;0;0
16;540;700;Air;0.3;TWTS;AI-Ni ;0;0;2.12;0;20.11;1;30.33
17;575;700;Air;0.3;TWTS;AI-Ni ;0;0;3.4;0;17.35;1;30.33
18;617;700;Air;0.3;TWTS;AI-Ni ;0;1;6.02;1;13.91;1;155.48
19;632;700;Air;0.3;TWTS;AI-Ni ;0;2;8.69;1;11.58;1;185.57
20;656;700;Air;0.3;TWTS;AI-Ni ;0;3;11.07;2;9.99;1;310.72
21;680;700;Air;0.3;TWTS;AI-Ni ;0;4;13.2;4;8.56;2;561.26
22;700;700;Air;0.3;TWTS;AI-Ni ;0;4;14.91;7;7.12;3;876.77
23;700;700;Air;0.3;TWTS;AI-Ni ;0;5;16.11;10;5.52;5;1252.7
24;700;700;Air;0.3;TWTS;AI-Ni ;0;5;16.49;13;3.68;7;1598.54
25;700;700;Air;0.3;TWTS;AI-Ni ;0;5;16.85;16;2.42;9;1944.38
26;700;700;Air;0.3;TWTS;AI-Ni ;0;6;17.03;18;1.66;11;2225.25
27;700;700;Air;0.3;TWTS;AI-Ni ;0;6;16.47;18;1.83;13;2285.91
28;700;700;Air;0.3;TWTS;AI-Ni ;0;5;14.99;17;3.23;12;2130.43
29;700;700;Air;0.3;TWTS;AI-Ni ;0;4;13.37;14;4.87;11;1784.83
30;700;700;Air;0.3;TWTS;AI-Ni ;0;3;11.9;11;6.32;10;1439.23
31;700;700;Air;0.3;TWTS;AI-Ni ;0;3;10.76;9;7.34;9;1218.78
32;700;700;Air;0.3;TWTS;AI-Ni ;0;2;10.07;8;7.03;9;1093.63
33;700;700;Air;0.3;TWTS;AI-Ni ;0;2;9.81;7;7.16;9;998.57
34;700;700;Air;0.3;TWTS;AI-Ni ;0;2;9.66;6;7.23;9;903.51
35;700;700;Air;0.3;TWTS;AI-Ni ;0;2;9.34;4;7.16;8;683.06
36;700;700;Air;0.3;TWTS;AI-Ni ;0;2;8.94;3;6.96;6;527.34
37;700;700;Air;0.3;TWTS;AI-Ni ;0;1;8.59;2;6.92;5;371.86
38;700;700;Air;0.3;TWTS;AI-Ni ;0;1;8.43;2;6.88;4;341.53
39;700;700;Air;0.3;TWTS;AI-Ni ;0;1;8.5;1;7.09;4;246.47
40;700;700;Air;0.3;TWTS;AI-Ni ;0;1;8.68;1;8.29;4;246.47
41;700;700;Air;0.3;TWTS;AI-Ni ;0;1;8.76;1;9.09;4;246.47
42;700;700;Air;0.3;TWTS;AI-Ni ;0;1;8.72;1;9.29;3;216.14
1;10;700;Air;0.4;TWTS;AI-Ni ;0;0;1.28;0;21.58;0;0
2;11;700;Air;0.4;TWTS;AI-Ni ;0;0;1.5;0;21.58;0;0
3;12;700;Air;0.4;TWTS;AI-Ni ;0;0;2.85;0;21.58;0;0
4;16;700;Air;0.4;TWTS;AI-Ni ;0;0;2.36;0;21.42;0;0
5;25;700;Air;0.4;TWTS;AI-Ni ;0;0;2.13;0;21.42;0;0
6;48;700;Air;0.4;TWTS;AI-Ni ;0;0;2.01;0;21.31;0;0
7;70;700;Air;0.4;TWTS;AI-Ni ;0;0;1.93;0;21.31;0;0
8;102;700;Air;0.4;TWTS;AI-Ni ;0;0;1.88;0;21.31;0;0
9;140;700;Air;0.4;TWTS;AI-Ni ;0;0;1.84;0;21.22;0;0
10;185;700;Air;0.4;TWTS;AI-Ni ;0;0;1.83;0;21.22;0;0
11;290;700;Air;0.4;TWTS;AI-Ni ;0;0;1.84;0;21.22;0;0
12;350;700;Air;0.4;TWTS;AI-Ni ;0;0;1.93;0;21.1;0;0
13;402;700;Air;0.4;TWTS;AI-Ni ;0;0;2.3;0;20.25;1;30.33
14;453;700;Air;0.4;TWTS;AI-Ni ;0;0;3.44;0;17.81;1;30.33
15;513;700;Air;0.4;TWTS;AI-Ni ;0;1;5.44;0;15.07;1;60.42
16;540;700;Air;0.4;TWTS;AI-Ni ;0;2;7.57;1;12.98;1;185.57
17;575;700;Air;0.4;TWTS;AI-Ni ;0;3;9.74;2;11.24;1;310.72
18;617;700;Air;0.4;TWTS;AI-Ni ;0;3;12.05;4;9.37;2;531.17
19;632;700;Air;0.4;TWTS;AI-Ni ;0;4;14.75;7;6.32;3;876.77
20;656;700;Air;0.4;TWTS;AI-Ni ;0;5;16.18;10;4.12;5;1252.7
21;680;700;Air;0.4;TWTS;AI-Ni ;0;5;16.67;13;2.69;7;1598.54
22;700;700;Air;0.4;TWTS;AI-Ni ;0;5;16.92;15;1.73;10;1879.65
23;700;700;Air;0.4;TWTS;AI-Ni ;0;5;16.24;15;2.21;11;1909.98
24;700;700;Air;0.4;TWTS;AI-Ni ;0;4;14.47;13;4.27;10;1659.44
25;700;700;Air;0.4;TWTS;AI-Ni ;0;3;12.54;11;6.65;8;1378.57
26;700;700;Air;0.4;TWTS;AI-Ni ;0;3;11.2;9;7.03;7;1158.12
27;700;700;Air;0.4;TWTS;AI-Ni ;0;2;10.63;8;7.16;7;1032.97
28;700;700;Air;0.4;TWTS;AI-Ni ;0;2;10.4;9;7.23;8;1158.36
29;700;700;Air;0.4;TWTS;AI-Ni ;0;2;9.74;8;7.16;8;1063.3
30;700;700;Air;0.4;TWTS;AI-Ni ;0;2;8.68;6;6.96;7;842.85
31;700;700;Air;0.4;TWTS;AI-Ni ;0;1;7.62;5;6.92;6;687.37
32;700;700;Air;0.4;TWTS;AI-Ni ;0;1;6.87;4;6.88;5;561.98
33;700;700;Air;0.4;TWTS;AI-Ni ;0;1;6.61;3;7.09;4;436.59
34;700;700;Air;0.4;TWTS;AI-Ni ;0;1;6.62;3;8.11;4;436.59
35;700;700;Air;0.4;TWTS;AI-Ni ;0;1;6.63;2;8.45;4;341.53
36;700;700;Air;0.4;TWTS;AI-Ni ;0;1;6.46;2;8.36;3;311.2
37;700;700;Air;0.4;TWTS;AI-Ni ;0;1;6.21;1;9.31;3;216.14
1;10;800;Air;0.05;TWTS;AI-Ni ;0;0;1.29;0;21.21;0;0
2;11;800;Air;0.05;TWTS;AI-Ni ;0;0;1.29;0;21.13;0;0
3;12;800;Air;0.05;TWTS;AI-Ni ;0;0;1.29;0;21.11;0;0
4;16;800;Air;0.05;TWTS;AI-Ni ;0;0;2.02;0;21.11;0;0
5;25;800;Air;0.05;TWTS;AI-Ni ;0;0;2.02;0;21.11;0;0
6;48;800;Air;0.05;TWTS;AI-Ni ;0;0;1.82;0;21.11;0;0
7;70;800;Air;0.05;TWTS;AI-Ni ;0;0;1.73;0;21.11;0;0
8;102;800;Air;0.05;TWTS;AI-Ni ;0;0;1.68;0;21.11;0;0
9;140;800;Air;0.05;TWTS;AI-Ni ;0;0;1.64;0;21;0;0
10;185;800;Air;0.05;TWTS;AI-Ni ;0;0;1.67;0;21;0;0
11;290;800;Air;0.05;TWTS;AI-Ni ;0;0;1.78;0;21;0;0
12;350;800;Air;0.05;TWTS;AI-Ni ;0;0;1.86;0;21;0;0
13;402;800;Air;0.05;TWTS;AI-Ni ;0;0;1.97;0;21;0;0
14;453;800;Air;0.05;TWTS;AI-Ni ;0;0;2.28;0;20.96;1;30.33
15;513;800;Air;0.05;TWTS;AI-Ni ;0;0;3.18;0;19.16;1;30.33
16;540;800;Air;0.05;TWTS;AI-Ni ;0;1;4.93;0;16.65;1;60.42
17;575;800;Air;0.05;TWTS;AI-Ni ;0;1;7.33;1;14.61;1;155.48
18;617;800;Air;0.05;TWTS;AI-Ni ;0;2;9.8;1;13.3;1;185.57
19;632;800;Air;0.05;TWTS;AI-Ni ;0;2;12.33;3;11.91;1;375.69
20;656;800;Air;0.05;TWTS;AI-Ni ;0;3;14.58;5;10.39;2;626.23
21;680;800;Air;0.05;TWTS;AI-Ni ;0;4;16.22;8;8.74;4;1002.16
22;700;800;Air;0.05;TWTS;AI-Ni ;0;5;16.98;11;7.15;6;1378.09
23;702;800;Air;0.05;TWTS;AI-Ni ;0;5;17.15;15;5.7;8;1818.99
24;720;800;Air;0.05;TWTS;AI-Ni ;0;5;17.12;17;4.56;10;2069.77
25;737;800;Air;0.05;TWTS;AI-Ni ;0;6;17.16;20;3.67;13;2476.03
26;754;800;Air;0.05;TWTS;AI-Ni ;0;6;17.18;21;3.05;15;2631.75
27;768;800;Air;0.05;TWTS;AI-Ni ;0;6;16.79;23;2.84;16;2852.2
28;784;800;Air;0.05;TWTS;AI-Ni ;0;7;15.87;23;3.17;18;2942.95
29;797;800;Air;0.05;TWTS;AI-Ni ;0;7;14.54;22;3.87;19;2878.22
30;800;800;Air;0.05;TWTS;AI-Ni ;0;8;13.06;21;4.7;19;2813.25
31;800;800;Air;0.05;TWTS;AI-Ni ;0;8;11.41;19;5.8;20;2653.46
32;800;800;Air;0.05;TWTS;AI-Ni ;0;8;9.76;15;6.65;18;2212.56
33;800;800;Air;0.05;TWTS;AI-Ni ;0;6;8.39;12;7.03;17;1836.87
34;800;800;Air;0.05;TWTS;AI-Ni ;0;5;7.33;9;7.16;16;1491.27
35;800;800;Air;0.05;TWTS;AI-Ni ;0;5;6.46;7;7.23;15;1270.82
36;800;800;Air;0.05;TWTS;AI-Ni ;0;5;6.15;6;7.16;14;1145.43
37;800;800;Air;0.05;TWTS;AI-Ni ;0;5;5.86;5;6.96;13;1020.04
38;800;800;Air;0.05;TWTS;AI-Ni ;0;4;5.53;4;6.92;12;864.56
39;800;800;Air;0.05;TWTS;AI-Ni ;0;4;5.3;3;6.88;11;739.17
40;800;800;Air;0.05;TWTS;AI-Ni ;0;3;5.16;3;7.09;10;678.75
41;800;800;Air;0.05;TWTS;AI-Ni ;0;3;5.04;2;8.11;10;583.69
1;6;900;Air;0.05;TWTS;AI-Ni ;0;0;3.97;0;21.21;0;0
2;9;900;Air;0.05;TWTS;AI-Ni ;0;0;2.98;0;21.13;0;0
3;12;900;Air;0.05;TWTS;AI-Ni ;0;0;2.52;0;21.11;0;0
4;15;900;Air;0.05;TWTS;AI-Ni ;0;0;2.22;0;21.11;0;0
5;18;900;Air;0.05;TWTS;AI-Ni ;0;0;2.09;0;21.11;0;0
6;28;900;Air;0.05;TWTS;AI-Ni ;0;0;1.99;0;21.11;0;0
7;47;900;Air;0.05;TWTS;AI-Ni ;0;0;1.93;0;21.11;0;0
8;77;900;Air;0.05;TWTS;AI-Ni ;0;0;1.87;0;21.11;0;0
9;118;900;Air;0.05;TWTS;AI-Ni ;0;0;1.83;0;21;0;0
10;167;900;Air;0.05;TWTS;AI-Ni ;0;0;1.81;0;21;0;0
11;226;900;Air;0.05;TWTS;AI-Ni ;0;0;1.8;0;21;0;0
12;290;900;Air;0.05;TWTS;AI-Ni ;0;0;1.8;0;21;0;0
13;355;900;Air;0.05;TWTS;AI-Ni ;0;0;1.86;0;21;0;0
14;413;900;Air;0.05;TWTS;AI-Ni ;0;0;2.05;0;20.25;1;30.33
15;466;900;Air;0.05;TWTS;AI-Ni ;0;0;2.61;0;19.22;1;30.33
16;510;900;Air;0.05;TWTS;AI-Ni ;0;0;3.66;0;18.22;1;30.33
17;549;900;Air;0.05;TWTS;AI-Ni ;0;1;5.24;1;17.29;1;155.48
18;581;900;Air;0.05;TWTS;AI-Ni ;0;1;7.27;2;16.03;1;250.54
19;610;900;Air;0.05;TWTS;AI-Ni ;0;2;9.42;3;14.67;2;406.02
20;636;900;Air;0.05;TWTS;AI-Ni ;0;2;11.46;5;13.08;3;626.47
21;659;900;Air;0.05;TWTS;AI-Ni ;0;3;12.99;8;11.38;4;972.07
22;682;900;Air;0.05;TWTS;AI-Ni ;0;3;13.78;11;9.87;6;1317.91
23;702;900;Air;0.05;TWTS;AI-Ni ;0;4;14.59;14;8.2;8;1693.84
24;720;900;Air;0.05;TWTS;AI-Ni ;0;4;15.17;16;6.93;10;1944.62
25;737;900;Air;0.05;TWTS;AI-Ni ;0;4;15.74;18;5.83;13;2225.73
26;754;900;Air;0.05;TWTS;AI-Ni ;0;4;16.26;20;5.03;15;2476.51
27;768;900;Air;0.05;TWTS;AI-Ni ;0;5;16.85;21;4.14;17;2662.32
28;784;900;Air;0.05;TWTS;AI-Ni ;0;5;17.14;22;3.51;18;2787.71
29;797;900;Air;0.05;TWTS;AI-Ni ;0;6;17.29;23;2.94;20;2973.52
30;810;900;Air;0.05;TWTS;AI-Ni ;0;6;17.07;24;2.66;21;3098.91
31;823;900;Air;0.05;TWTS;AI-Ni ;0;7;16.54;25;2.58;22;3254.39
32;835;900;Air;0.05;TWTS;AI-Ni ;0;7;15.63;25;2.78;23;3284.72
33;847;900;Air;0.05;TWTS;AI-Ni ;0;8;14.35;24;3.36;23;3219.75
34;859;900;Air;0.05;TWTS;AI-Ni ;0;9;12.84;22;4.39;23;3059.72
35;869;900;Air;0.05;TWTS;AI-Ni ;0;10;11.14;20;5.66;22;2869.36
36;879;900;Air;0.05;TWTS;AI-Ni ;0;10;9.57;18;7.01;22;2679.24
37;889;900;Air;0.05;TWTS;AI-Ni ;0;10;8.07;15;6.65;21;2363.73
38;900;900;Air;0.05;TWTS;AI-Ni ;0;10;6.81;12;7.03;21;2078.55
39;900;900;Air;0.05;TWTS;AI-Ni ;0;10;5.79;9;7.16;20;1763.04
40;900;900;Air;0.05;TWTS;AI-Ni ;0;10;5.02;6;7.23;19;1447.53
41;900;900;Air;0.05;TWTS;AI-Ni ;0;10;4.45;5;7.16;18;1322.14
42;900;900;Air;0.05;TWTS;AI-Ni ;0;8;3.92;3;6.96;17;1041.51
43;900;900;Air;0.05;TWTS;AI-Ni ;0;7;3.54;2;6.92;16;886.03
44;900;900;Air;0.05;TWTS;AI-Ni ;0;6;3.29;2;6.88;15;825.61
45;900;900;Air;0.05;TWTS;AI-Ni ;0;6;3.13;2;7.09;14;795.28
46;900;900;Air;0.05;TWTS;AI-Ni ;0;6;3.01;2;8.11;14;795.28
1;6;1000;Air;0.05;TWTS;AI-Ni ;0;0;2;0;21.53;0;0
2;9;1000;Air;0.05;TWTS;AI-Ni ;0;0;2;0;21.7;0;0
3;12;1000;Air;0.05;TWTS;AI-Ni ;0;0;2;0;21.72;0;0
4;15;1000;Air;0.05;TWTS;AI-Ni ;0;0;2;0;21.7;0;0
5;18;1000;Air;0.05;TWTS;AI-Ni ;0;0;2;0;21.71;0;0
6;28;1000;Air;0.05;TWTS;AI-Ni ;0;0;2;0;21.73;0;0
7;47;1000;Air;0.05;TWTS;AI-Ni ;0;0;2;0;21.74;1;30.33
8;77;1000;Air;0.05;TWTS;AI-Ni ;0;0;2;0;21.74;1;30.33
9;118;1000;Air;0.05;TWTS;AI-Ni ;0;0;2;0;21.59;1;30.33
